Date,ASML,SHELL,JPM,STOXX50,SP500,EURUSD,EURIBOR3M,JPM_EUR,SP500_EUR,LOAN
2015-01-20,0.0014533175295585114,0.0032441119791535556,-0.003941123927733509,0.0074298791746348816,0.0015487524334006086,0.002756573846945433,-0.0010000000000000009,-0.006697697774678942,-0.0012078214135448245,0.00013821606677732063
2015-01-21,0.0251532928815317,0.016240354595292033,0.0032256683858552654,0.007616734256206445,0.004720465022189582,-0.00440909355681174,0.0,0.0076347619426670055,0.009129558579001322,4.686507936507936e-05
2015-01-22,0.023365642543881886,0.014061779681779456,0.029963622442937213,0.01605522120249068,0.015154313070630109,0.005906263803163429,0.0,0.024057358639773783,0.009248049267466679,4.686507936507936e-05
2015-01-23,0.004989607939519468,0.0150720660430204,-0.015927450375820718,0.017867249432886482,-0.005506656279301935,-0.02339614797820338,-0.0020000000000000018,0.007468697602382661,0.017889491698901444,0.00022956705418956187
2015-01-26,0.0036996451963383307,0.015017377530519549,0.0015864421355664667,0.009336767466417257,0.0025651679986232745,-0.01969567318894572,0.0010000000000000009,0.02128211532451219,0.022260841187568995,-4.4485908047161896e-05
2015-01-27,-0.009967289903325493,-0.006627348803623747,-0.010091061827733548,-0.012288591563067486,-0.013478287815857576,0.01092915671812222,0.0010000000000000009,-0.02102021854585577,-0.024407444533979798,-4.4485908047161896e-05
2015-01-28,-0.0011727811237889525,-0.01771790333456119,-0.026139533273403216,-0.004046662634341241,-0.013587502811021794,0.01058356411852382,-0.0020000000000000018,-0.036723097391927036,-0.024171066929545612,0.00022956705418956187
2015-01-29,-0.004276920792609599,-0.048356687577029156,0.016664030693157025,0.0038242562309001396,0.00948951705826335,-0.007587187178921713,-0.0010000000000000009,0.024251217872078738,0.01707670423718506,0.00013821606677732063
2015-01-30,-0.0005358579296486986,-0.019310856515596567,-0.023444936377288842,-0.006065560114042964,-0.013077099006318498,0.004783451539234388,0.0020000000000000018,-0.02822838791652323,-0.017860550545552887,-0.00013583689545940315
2015-02-02,-0.026395782603974436,0.019675127695702455,0.019845767906061174,0.0055553299152862525,0.012879170000215734,-0.002343696043750871,0.0010000000000000009,0.022189463949812045,0.015222866043966606,-4.4485908047161896e-05
2015-02-03,-0.0069586588949853935,0.047818463990501346,0.022284596048635915,0.012991910381510388,0.01433623857745288,0.002887982175268311,0.0,0.019396613873367604,0.011448256402184569,4.686507936507936e-05
2015-02-04,-0.00255282819998205,0.000347138703551011,-0.006012427628330666,0.0003953601782676522,-0.0041647065724529616,0.010145404662096026,0.0,-0.016157832290426694,-0.014310111234548988,4.686507936507936e-05
2015-02-05,-0.008705350232719884,0.01070093000645647,0.006893564458901993,-0.001925439233863112,0.010238810710909235,-0.012173604340968083,-0.0040000000000000036,0.019067168799870075,0.02241241505187732,0.00041226902901404436
2015-02-06,0.009594062698205164,0.002742944249927377,0.019536646394536384,-0.003173165183415517,-0.00342402761187852,0.013446211575507286,0.0020000000000000018,0.0060904348190290985,-0.016870239187385807,-0.00013583689545940315
2015-02-09,-0.03169502268696896,0.006484751920106451,-0.0012099775236534584,-0.014945604404968347,-0.004256239310481708,-0.013830915005197078,-0.0020000000000000018,0.01262093748154362,0.00957467569471537,0.00022956705418956187
2015-02-10,0.025905078878392353,-0.013528749565649624,0.011007976398592736,0.010512803459210327,0.010618979554062366,0.001109465116006892,-0.000999999999999994,0.009898511282585844,0.009509514438055474,0.00013821606677731998
2015-02-11,0.01738017432797705,-0.0012075100462171167,-0.0015404567764126266,-0.0026608366506982025,-2.9034010158247172e-05,-0.00044170100234545756,-0.0010000000000000009,-0.0010987557740671692,0.0004126669921872104,0.00013821606677732063
2015-02-12,-0.00517123477539735,0.0006272873231549947,0.020350158726144575,0.012801062599185092,0.009598295065916026,-0.0008827231337116523,-0.0010000000000000009,0.021232881859856226,0.010481018199627679,0.00013821606677732063
2015-02-13,0.007582581668325885,0.015638656960074354,0.001677206662278466,0.008733953910504914,0.004066459227779422,0.008098083044709882,0.0,-0.006420876382431416,-0.004031623816930461,4.686507936507936e-05
