Date,ASML,SHELL,JPM,STOXX50,SP500,EURUSD,EURIBOR3M,JPM_EUR,SP500_EUR
2016-12-27,97.33722686767578,16.0485725402832,68.1339111328125,3278.530029296875,2268.8798828125,1.045696973800659,-0.318,65.15645817083607,2169.729797119042
2016-12-28,97.79420471191406,16.17491912841797,67.64126586914062,3278.719970703125,2249.919921875,1.046233057975769,-0.319,64.65219709269329,2150.4959193586374
2016-12-29,96.97162628173828,16.1379337310791,67.16426086425781,3271.760009765625,2249.260009765625,1.041699171066284,-0.319,64.47567851619621,2159.222232521584
2016-12-30,97.47430419921875,16.01467323303223,67.47706604003906,3290.52001953125,2238.830078125,1.05752968788147,-0.319,63.80630899848745,2117.037567626123
2017-01-02,97.83990478515625,16.15950393676758,67.47706604003906,3290.52001953125,2238.830078125,1.052698016166687,-0.318,64.09916709613573,2126.754343356241
2017-01-03,97.42860412597656,16.35364151000977,68.21210479736328,3315.02001953125,2257.830078125,1.046003222465515,-0.319,65.21213638002165,2158.5307096885517
2017-01-04,96.10337829589844,16.43375778198242,68.33793640136719,3317.52001953125,2270.75,1.04199230670929,-0.32,65.58391646593326,2179.238738500136
2017-01-05,96.33186340332031,16.35056304931641,67.7088851928711,3316.469970703125,2269.0,1.050089240074158,-0.321,64.47917244451476,2160.76873603596
2017-01-06,96.33186340332031,16.28584480285645,67.71675109863281,3321.169921875,2276.97998046875,1.060591578483582,-0.321,63.84809428286543,2146.896153677122
2017-01-09,97.20011901855469,16.00542831420898,67.76393127441406,3308.969970703125,2268.89990234375,1.053185820579529,-0.322,64.34185682173928,2154.3205937725775
2017-01-10,97.52000427246094,15.95920658111572,67.96051025390625,3306.2099609375,2268.89990234375,1.058862090110779,-0.324,64.18258892127885,2142.771871364642
2017-01-11,97.79420471191406,16.17491912841797,68.47161102294922,3307.93994140625,2275.320068359375,1.055241942405701,-0.326,64.8871204520645,2156.2070051652663
2017-01-12,97.3829116821289,16.1256103515625,67.81111145019531,3286.699951171875,2270.43994140625,1.059771060943604,-0.327,63.9865664852344,2142.3871863274744
2017-01-13,99.21086883544922,16.1379337310791,68.17279815673828,3324.340087890625,2274.639892578125,1.061683773994446,-0.327,64.21196200470038,2142.4834289593505
2017-01-16,98.52538299560547,16.00235176086426,68.17279815673828,3294.530029296875,2274.639892578125,1.062868714332581,-0.328,64.14037522926506,2140.094878986503
2017-01-17,98.47968292236328,15.97461605072021,65.6959457397461,3285.0400390625,2267.889892578125,1.060299158096313,-0.329,61.95982071484259,2138.9151120802076
2017-01-18,105.1059188842773,15.93763160705566,66.00260162353516,3294.0,2271.889892578125,1.069678902626038,-0.329,61.7031909870338,2123.8989448148277
2017-01-19,104.5575485229492,15.77740097045898,65.49935913085938,3290.330078125,2263.68994140625,1.062778353691101,-0.329,61.630309747442325,2129.9736991671894
2017-01-20,104.2376556396484,15.83902740478516,65.79029083251953,3299.43994140625,2271.31005859375,1.065973043441772,-0.328,61.71853147439678,2130.738739190095
2017-01-23,103.2322845458984,15.73425197601318,65.82173156738281,3273.0400390625,2265.199951171875,1.071375012397766,-0.327,61.436687253020786,2114.2923112443113
2017-01-24,104.0548553466797,15.78048038482666,66.61590576171875,3281.530029296875,2280.070068359375,1.076078772544861,-0.328,61.90616101846909,2118.869107479137
2017-01-25,104.2376556396484,15.94071483612061,67.64596557617188,3326.14990234375,2298.3701171875,1.072869300842285,-0.328,63.05145046378397,2142.2647804192948
2017-01-26,104.0548553466797,15.89449119567871,68.21212005615234,3319.1298828125,2296.679931640625,1.075199365615845,-0.328,63.44136932882424,2136.0503038663433
2017-01-27,103.6893005371094,15.82977962493896,68.35366821289062,3303.330078125,2294.68994140625,1.068296194076538,-0.328,63.98381702742772,2147.99037395227
2017-01-30,103.2779922485352,15.52471256256104,67.64596557617188,3262.719970703125,2280.89990234375,1.071398019790649,-0.328,63.13803491011668,2128.900614161521
2017-01-31,102.7295989990234,15.43226146697998,66.54515075683594,3230.679931640625,2278.8701171875,1.070858716964722,-0.327,62.14185840075501,2128.0772907623204
2017-02-01,103.1409072875977,15.47848987579346,66.7967758178711,3258.919921875,2279.550048828125,1.080380320549011,-0.328,61.82709416988208,2109.951473079164
2017-02-02,103.9177780151367,15.52162647247314,66.5136947631836,3253.610107421875,2280.85009765625,1.076739192008972,-0.328,61.77326436783901,2118.2939328145535
2017-02-03,104.5118637084961,15.69419384002686,68.55025482177734,3273.110107421875,2297.419921875,1.076171398162842,-0.328,63.69826863899294,2134.808568409252
2017-02-06,104.1462478637695,15.57401847839355,68.22783660888672,3238.31005859375,2292.56005859375,1.078294992446899,-0.328,63.27381383276397,2126.0972875255634
2017-02-07,105.1059188842773,15.48773860931396,68.18852996826172,3235.7099609375,2293.080078125,1.074321627616882,-0.328,63.47124382064352,2134.444675764029
2017-02-08,105.5171966552734,15.30900573730469,67.59093475341797,3238.0400390625,2294.669921875,1.067805647850037,-0.328,63.29891107947245,2148.958405019847
